  idA   idB    nameA    nameB    score
  001   005  18629-1  18624-1    0.905
  005   014  18624-1  18627-1    0.905
  008   015  17124-1  18658-1    0.819
  009   018  18625-1  18631-1    0.741
  008   011  17124-1  18637-1    0.705
  006   014  18633-1  18627-1    0.891
  009   020  18625-1  18636-1    0.891
  005   019  18624-1  18632-1    0.670
  004   015  18660-1  18658-1    0.497
  008   010  17124-1  18659-1    0.741
  003   005  18628-1  18624-1    0.905
  009   021  18625-1  18626-1    0.819
  007   020  18635-1  18636-1    0.905
  002   018  18634-1  18631-1    0.819
  005   009  18624-1  18625-1    0.273
  013   017  18652-1  18639-1    0.670
  012   013  18638-1  18652-1    0.741
  012   015  18638-1  18658-1    0.607
  002   015  18634-1  18658-1    0.741
  014   016  18627-1  18630-1    0.951
