  idA   idB   nameA   nameB    score
  002   004  jmc_30  ejm_46    0.819
  003   008  ejm_50  ejm_49    0.247
  003   012  ejm_50  ejm_48    0.273
  001   015  ejm_31  ejm_42    0.905
  003   013  ejm_50  ejm_47    0.301
  005   016  ejm_55  ejm_54    0.861
  001   009  ejm_31  ejm_45    0.741
  006   010  ejm_43  ejm_44    0.905
  002   007  jmc_30  jmc_28    0.779
  004   014  ejm_46  jmc_23    0.905
  001   003  ejm_31  ejm_50    0.905
  011   014  jmc_27  jmc_23    0.951
  010   015  ejm_44  ejm_42    0.819
  006   015  ejm_43  ejm_42    0.905
  001   008  ejm_31  ejm_49    0.273
  007   011  jmc_28  jmc_27    0.951
  005   015  ejm_55  ejm_42    0.951
  001   007  ejm_31  jmc_28    0.333
  015   016  ejm_42  ejm_54    0.861
  001   012  ejm_31  ejm_48    0.301
  003   015  ejm_50  ejm_42    0.951
  001   013  ejm_31  ejm_47    0.333
  001   004  ejm_31  ejm_46    0.368
